ORIGIN,DEST,UNIQUE_CARRIER,DAY_OF_WEEK,DEP_HOUR,ARR_DELAY
DEN,LAX,WN,1,13,10.0
BOS,ORD,UA,7,17,6.0
BOS,LAX,AA,4,19,32.0
SFO,PHX,WN,4,21,9.0
LAS,DEN,WN,4,22,56.0
IAH,ATL,DL,3,7,27.0
PHX,SFO,WN,1,21,57.0
ORD,SFO,AA,2,16,72.0
ORD,IAH,UA,6,9,12.0
LAX,LAS,WN,3,22,127.0
LAS,ATL,WN,4,18,179.0
PHX,SFO,WN,1,21,64.0
ATL,ORD,DL,1,9,17.0
ORD,SFO,UA,1,9,43.0
ATL,IAH,EV,1,15,15.0
LAS,PHX,US,7,6,8.0
DEN,SFO,UA,2,15,76.0
PHX,ATL,DL,1,13,22.0
ORD,DFW,AA,4,20,51.0
ORD,DFW,AA,4,16,51.0
LAS,LAX,WN,3,17,18.0
DEN,BOS,B6,7,23,91.0
LAX,IAH,UA,1,13,130.0
LAX,SFO,WN,1,12,257.0
ORD,LAS,UA,4,9,18.0
DEN,PHX,WN,4,15,7.0
LAS,LAX,OO,4,20,11.0
DFW,SFO,AA,5,17,51.0
LAX,ATL,DL,2,22,9.0
LAS,ORD,UA,7,14,11.0
DFW,ORD,AA,1,13,12.0
DFW,ATL,AA,7,19,19.0
LAS,SFO,WN,7,21,30.0
PHX,BOS,AA,4,12,57.0
LAX,SFO,AA,5,17,7.0
SFO,BOS,UA,7,6,12.0
LAX,SFO,UA,5,22,6.0
PHX,SFO,US,6,17,16.0
LAS,SFO,OO,1,9,31.0
LAS,PHX,WN,2,11,5.0
ORD,ATL,DL,4,8,5.0
ORD,DEN,UA,2,7,11.0
DEN,IAH,UA,4,15,10.0
DFW,DEN,AA,7,18,12.0
PHX,SFO,OO,4,17,160.0
LAS,LAX,AA,6,10,76.0
LAX,PHX,US,7,6,256.0
DFW,ATL,DL,1,16,5.0
BOS,ATL,DL,1,14,45.0
LAX,DFW,AA,4,8,109.0
SFO,LAX,AA,1,20,19.0
LAS,LAX,DL,7,16,35.0
ORD,LAX,UA,7,15,24.0
BOS,SFO,B6,6,16,12.0
SFO,DEN,F9,4,19,15.0
IAH,DFW,UA,7,19,15.0
DFW,LAS,AA,4,21,36.0
SFO,BOS,B6,7,22,25.0
DFW,SFO,AA,2,9,82.0
ORD,ATL,OO,5,15,12.0
SFO,BOS,B6,7,22,26.0
LAX,ORD,AA,4,13,11.0
DEN,DFW,F9,5,11,59.0
DFW,LAX,AA,4,19,81.0
LAX,SFO,DL,6,10,5.0
ATL,LAS,WN,3,20,32.0
DFW,BOS,AA,7,13,35.0
LAX,PHX,AA,3,16,7.0
ORD,DFW,AA,5,13,35.0
LAX,SFO,WN,7,17,68.0
IAH,DFW,OO,5,10,42.0
ORD,LAX,UA,6,18,13.0
PHX,LAX,OO,7,18,15.0
LAX,BOS,B6,3,23,6.0
PHX,SFO,WN,3,19,121.0
ORD,LAS,F9,6,20,87.0
DFW,ATL,AA,7,14,18.0
PHX,LAS,WN,3,20,80.0
DEN,LAX,WN,5,11,7.0
LAX,LAS,WN,7,21,102.0
PHX,SFO,WN,1,20,37.0
ORD,SFO,UA,1,8,31.0
LAX,LAS,WN,1,21,45.0
ATL,BOS,DL,1,11,61.0
PHX,LAS,WN,4,8,19.0
LAX,DFW,AA,3,12,27.0
PHX,LAX,WN,7,17,28.0
LAX,DEN,F9,3,11,13.0
ORD,BOS,B6,5,8,32.0
DFW,DEN,AA,4,11,13.0
DEN,ATL,F9,3,13,13.0
ORD,LAS,UA,5,22,32.0
DFW,DEN,AA,1,8,25.0
PHX,LAS,WN,1,12,49.0
LAS,BOS,B6,1,12,62.0
LAS,LAX,WN,4,19,59.0
DFW,SFO,AA,3,16,8.0
SFO,IAH,UA,7,10,8.0
SFO,LAX,WN,3,12,5.0
BOS,DFW,AA,3,14,24.0
ORD,PHX,UA,7,17,137.0
BOS,LAX,AA,1,19,45.0
LAX,SFO,AA,3,12,10.0
PHX,SFO,AA,5,7,59.0
LAX,ATL,WN,7,10,25.0
DEN,SFO,UA,1,8,80.0
BOS,ATL,WN,1,17,26.0
ATL,LAS,WN,1,10,23.0
PHX,DFW,US,6,16,92.0
SFO,LAX,WN,7,14,17.0
LAS,PHX,WN,2,14,9.0
SFO,ORD,AA,2,14,79.0
ORD,ATL,DL,2,11,19.0
BOS,SFO,UA,6,15,33.0
ORD,DFW,UA,4,11,192.0
DEN,DFW,AA,5,14,195.0
ATL,DFW,DL,6,18,16.0
SFO,LAX,WN,2,21,22.0
SFO,PHX,WN,7,19,78.0
ORD,LAS,F9,6,21,10.0
SFO,LAX,WN,5,18,73.0
SFO,LAX,DL,7,15,27.0
DFW,ORD,AA,1,18,29.0
LAX,SFO,WN,2,11,47.0
ORD,DFW,AA,6,20,101.0
DFW,ORD,AA,5,16,72.0
DEN,SFO,WN,7,11,35.0
PHX,LAX,WN,4,15,80.0
ORD,LAX,AA,1,17,5.0
LAX,IAH,UA,7,13,21.0
DFW,LAX,AA,4,19,62.0
DFW,SFO,AA,2,22,33.0
DEN,DFW,EV,4,7,25.0
BOS,DFW,AA,5,15,10.0
BOS,ORD,AA,6,8,12.0
ORD,ATL,UA,4,7,6.0
ORD,ATL,OO,3,9,43.0
DEN,IAH,UA,5,7,30.0
DFW,PHX,AA,4,17,157.0
DFW,PHX,AA,4,6,32.0
LAS,LAX,AA,1,18,17.0
DFW,LAS,AA,3,13,19.0
ORD,LAX,AA,4,19,13.0
PHX,ORD,AA,1,15,119.0
DEN,PHX,OO,2,11,11.0
LAS,LAX,WN,2,21,73.0
DFW,LAS,AA,4,10,20.0
ORD,DFW,AA,6,20,6.0
PHX,LAX,US,1,19,18.0
LAX,LAS,WN,5,20,8.0
ATL,SFO,DL,2,9,5.0
IAH,SFO,UA,3,15,15.0
LAX,DEN,OO,3,19,7.0
DEN,IAH,UA,4,15,34.0
ORD,LAX,UA,3,10,17.0
DFW,ORD,AA,2,18,36.0
LAS,ORD,UA,1,23,205.0
LAS,DEN,WN,3,15,5.0
ORD,DFW,AA,4,17,56.0
PHX,SFO,WN,5,21,27.0
BOS,PHX,AA,2,10,22.0
DEN,ORD,UA,5,11,150.0
DFW,ATL,DL,7,19,41.0
DFW,LAX,AA,3,10,6.0
BOS,DEN,B6,3,9,13.0
PHX,DFW,AA,2,13,13.0
LAX,LAS,OO,1,13,26.0
PHX,DEN,UA,3,13,44.0
ATL,LAS,DL,6,13,37.0
DEN,IAH,UA,3,10,8.0
ORD,BOS,AA,5,10,102.0
ATL,LAX,DL,5,10,77.0
LAS,SFO,WN,4,21,18.0
PHX,DFW,US,4,15,24.0
DEN,LAX,UA,5,19,27.0
DEN,PHX,WN,6,18,8.0
LAX,SFO,UA,3,20,14.0
DFW,LAX,OO,1,20,33.0
DEN,LAS,UA,2,19,86.0
DEN,LAX,WN,3,16,26.0
ORD,LAX,UA,7,18,15.0
LAX,DEN,UA,7,18,17.0
IAH,ORD,UA,7,15,22.0
LAS,ORD,AA,3,16,10.0
ORD,ATL,DL,1,13,281.0
PHX,DFW,AA,5,19,26.0
ATL,DFW,DL,4,15,165.0
ATL,SFO,DL,6,16,20.0
SFO,PHX,OO,4,14,14.0
DFW,ORD,UA,5,15,98.0
DFW,ORD,AA,6,22,41.0
DEN,ORD,AA,1,11,36.0
LAX,LAS,DL,3,7,27.0
DEN,ATL,OO,5,13,15.0
DEN,ORD,UA,5,20,143.0
DEN,LAS,F9,7,11,9.0
ORD,LAX,AA,2,20,27.0
PHX,DEN,UA,4,12,18.0
DEN,DFW,OO,5,14,104.0
DEN,PHX,UA,1,20,48.0
DFW,LAS,AA,7,12,62.0
PHX,DFW,AA,6,5,7.0
PHX,DEN,UA,1,11,23.0
LAS,ORD,AA,3,23,70.0
DEN,PHX,WN,3,18,5.0
ORD,DFW,OO,1,18,125.0
SFO,LAS,UA,5,20,32.0
SFO,LAX,UA,4,15,34.0
IAH,ATL,EV,6,18,18.0
ORD,DFW,OO,1,15,10.0
LAX,ORD,AA,7,15,10.0
LAS,LAX,UA,3,19,104.0
LAS,LAX,WN,1,14,6.0
DFW,ORD,AA,4,13,12.0
LAX,DEN,WN,1,16,165.0
PHX,LAX,WN,7,20,31.0
ORD,BOS,OO,2,8,18.0
IAH,DEN,UA,7,18,17.0
DEN,PHX,UA,1,19,13.0
SFO,DEN,WN,7,11,5.0
DEN,DFW,UA,7,10,14.0
DEN,BOS,B6,3,12,45.0
ORD,SFO,UA,5,18,179.0
LAS,IAH,UA,3,7,11.0
PHX,ORD,AA,2,7,13.0
LAX,PHX,OO,4,9,7.0
SFO,LAS,UA,3,9,38.0
PHX,SFO,WN,3,16,217.0
BOS,DEN,UA,1,7,9.0
ATL,PHX,DL,2,18,25.0
ATL,LAX,WN,4,18,19.0
PHX,LAX,US,2,10,6.0
ATL,PHX,US,5,17,7.0
LAS,PHX,WN,5,10,8.0
DFW,SFO,AA,2,14,34.0
DEN,DFW,UA,1,17,35.0
LAS,LAX,WN,3,17,10.0
LAX,BOS,AA,6,16,16.0
SFO,DEN,WN,4,11,11.0
IAH,LAX,UA,7,16,81.0
SFO,LAX,DL,3,8,11.0
ORD,LAX,AA,4,12,89.0
DEN,SFO,WN,1,17,121.0
BOS,LAS,B6,1,19,19.0
ORD,PHX,UA,4,20,33.0
PHX,LAS,WN,1,20,24.0
ORD,SFO,AA,4,10,18.0
ORD,BOS,UA,1,11,39.0
DFW,DEN,EV,1,11,81.0
BOS,LAX,B6,5,19,19.0
PHX,DFW,AA,1,19,127.0
LAX,SFO,AA,3,20,102.0
IAH,LAS,F9,4,20,107.0
LAS,SFO,WN,5,8,70.0
SFO,BOS,B6,7,13,9.0
LAX,ORD,UA,6,8,65.0
SFO,LAX,UA,4,12,13.0
IAH,ORD,UA,4,17,9.0
LAS,DEN,WN,5,18,10.0
ORD,PHX,AA,2,19,9.0
LAX,SFO,WN,4,9,38.0
PHX,LAX,AA,6,20,81.0
PHX,DFW,AA,2,22,35.0
LAX,DFW,AA,5,6,9.0
LAS,LAX,WN,2,16,30.0
PHX,ATL,DL,5,15,7.0
LAX,PHX,WN,3,14,33.0
ORD,BOS,UA,5,17,5.0
ORD,ATL,OO,1,6,19.0
ORD,DFW,AA,4,6,7.0
LAS,DFW,AA,5,14,6.0
LAX,DEN,WN,4,22,50.0
ATL,ORD,OO,1,20,8.0
ORD,BOS,UA,5,17,6.0
LAX,SFO,WN,4,20,10.0
DFW,IAH,AA,3,15,11.0
ATL,BOS,DL,4,19,15.0
SFO,LAS,UA,4,20,52.0
ORD,DEN,UA,7,19,36.0
LAX,DFW,AA,3,14,46.0
SFO,LAX,AA,6,8,52.0
ATL,DEN,WN,4,19,164.0
DEN,PHX,F9,7,13,10.0
LAX,LAS,WN,4,18,13.0
DFW,BOS,AA,7,8,159.0
DFW,DEN,AA,2,17,22.0
DFW,ATL,AA,2,20,86.0
PHX,DEN,WN,1,12,13.0
BOS,ORD,UA,2,20,175.0
DEN,DFW,AA,6,19,210.0
IAH,DFW,EV,3,9,11.0
IAH,ORD,UA,3,16,37.0
LAS,LAX,WN,3,10,17.0
BOS,IAH,UA,3,16,37.0
IAH,ATL,EV,1,13,7.0
DFW,DEN,F9,7,6,25.0
LAX,PHX,WN,5,19,169.0
SFO,DEN,UA,5,16,39.0
LAS,SFO,UA,1,12,7.0
PHX,LAX,US,1,19,21.0
ORD,SFO,AA,2,12,12.0
BOS,DEN,UA,5,15,20.0
ORD,LAX,UA,7,18,115.0
ORD,DFW,UA,2,17,31.0
BOS,IAH,UA,2,12,16.0
DFW,PHX,AA,4,15,25.0
LAX,LAS,AA,1,18,8.0
ORD,DFW,AA,4,14,120.0
LAX,SFO,UA,5,8,36.0
LAX,SFO,WN,5,10,34.0
SFO,LAX,UA,3,17,20.0
DFW,IAH,AA,2,12,19.0
LAX,LAS,WN,1,14,9.0
DEN,IAH,UA,2,15,60.0
SFO,LAX,DL,1,12,109.0
DEN,PHX,F9,1,19,32.0
PHX,IAH,US,1,12,15.0
SFO,DFW,OO,7,13,162.0
PHX,LAX,WN,2,8,21.0
LAX,ORD,UA,6,16,7.0
LAX,SFO,DL,4,17,15.0
DFW,LAX,AA,7,21,25.0
BOS,ORD,UA,5,6,19.0
LAX,ATL,DL,5,22,10.0
BOS,IAH,UA,4,14,6.0
DEN,LAS,F9,6,14,14.0
DEN,SFO,F9,5,8,19.0
BOS,ORD,AA,5,5,38.0
DEN,ATL,UA,5,10,5.0
DEN,ORD,UA,3,15,191.0
DEN,PHX,UA,5,16,91.0
DFW,ATL,AA,6,13,18.0
DEN,SFO,F9,2,22,23.0
LAX,SFO,UA,4,21,10.0
ORD,PHX,US,5,14,7.0
ATL,LAX,DL,2,15,22.0
IAH,SFO,UA,4,9,6.0
LAX,PHX,WN,4,16,20.0
DFW,LAX,AA,3,16,11.0
LAX,LAS,AA,5,12,34.0
ATL,ORD,UA,4,10,6.0
ORD,SFO,UA,7,15,19.0
SFO,ORD,F9,6,13,74.0
DEN,BOS,WN,5,10,31.0
DEN,DFW,AA,7,7,14.0
ORD,ATL,DL,1,10,199.0
DFW,DEN,AA,4,13,56.0
DEN,DFW,F9,5,6,18.0
PHX,DFW,AA,2,18,19.0
ORD,LAS,AA,7,17,13.0
ORD,DFW,AA,5,15,66.0
DEN,SFO,UA,5,8,83.0
SFO,DEN,WN,3,16,16.0
SFO,DEN,UA,3,10,7.0
ATL,DEN,DL,7,17,22.0
DEN,PHX,F9,7,20,15.0
DEN,DFW,AA,2,5,8.0
LAX,ATL,DL,3,12,39.0
SFO,ORD,UA,4,22,6.0
DEN,BOS,WN,1,17,39.0
SFO,LAX,AA,6,18,20.0
PHX,DEN,US,3,8,31.0
PHX,LAS,AA,3,13,10.0
SFO,DEN,WN,3,17,141.0
DFW,ORD,AA,1,19,15.0
DEN,LAS,WN,3,10,17.0
DEN,LAS,WN,4,15,65.0
LAX,SFO,UA,1,9,8.0
ORD,LAX,UA,2,9,62.0
ORD,ATL,DL,1,18,19.0
DEN,ORD,UA,2,9,16.0
IAH,DEN,F9,7,17,11.0
DEN,SFO,WN,7,19,160.0
LAS,SFO,WN,7,15,22.0
PHX,LAX,WN,3,18,74.0
DFW,DEN,AA,1,22,6.0
IAH,LAX,UA,6,21,14.0
LAX,ATL,WN,5,13,33.0
SFO,PHX,OO,3,13,90.0
PHX,DFW,AA,2,18,190.0
LAS,PHX,AA,5,12,41.0
DEN,LAS,WN,5,7,13.0
DEN,LAS,WN,4,13,12.0
LAS,PHX,AA,7,11,17.0
PHX,LAS,AA,1,20,7.0
BOS,DFW,AA,5,5,458.0
DEN,ORD,AA,6,13,23.0
ATL,DFW,DL,1,16,7.0
SFO,DEN,UA,3,10,73.0
PHX,IAH,AA,4,9,48.0
BOS,ORD,AA,5,14,15.0
IAH,LAS,UA,1,14,10.0
DFW,LAX,AA,6,18,413.0
ATL,DFW,AA,1,14,397.0
ATL,ORD,EV,7,14,28.0
SFO,DFW,AA,1,6,69.0
DEN,LAS,F9,1,21,101.0
DEN,PHX,US,7,12,89.0
ORD,LAX,UA,5,6,10.0
LAX,LAS,WN,3,15,58.0
LAX,ATL,WN,2,13,5.0
DEN,ATL,DL,5,6,9.0
ATL,ORD,DL,1,17,46.0
LAX,LAS,UA,1,13,15.0
SFO,ORD,AA,6,14,92.0
BOS,DEN,UA,5,15,10.0
DEN,PHX,OO,4,11,15.0
DEN,LAS,WN,3,15,53.0
LAS,LAX,WN,4,16,49.0
ORD,LAX,UA,2,12,8.0
IAH,ORD,UA,2,21,20.0
SFO,LAX,AA,6,12,33.0
PHX,ATL,WN,5,6,11.0
DEN,ORD,AA,3,17,90.0
ORD,DEN,UA,4,16,13.0
SFO,LAS,OO,1,7,34.0
BOS,LAX,DL,3,7,113.0
ORD,DFW,AA,4,15,59.0
ORD,DFW,AA,2,22,47.0
ORD,BOS,AA,1,10,20.0
ORD,IAH,UA,3,21,31.0
PHX,LAX,WN,6,17,20.0
DFW,LAS,AA,1,15,48.0
LAS,LAX,OO,6,15,18.0
SFO,LAX,WN,6,6,53.0
BOS,ORD,UA,7,18,10.0
PHX,LAS,WN,7,15,17.0
ATL,DEN,DL,7,14,11.0
DFW,SFO,AA,3,22,42.0
DFW,SFO,AA,3,14,28.0
PHX,DEN,AA,2,8,8.0
DEN,ORD,UA,5,15,17.0
LAS,LAX,WN,5,18,129.0
ORD,SFO,UA,6,8,16.0
PHX,ORD,UA,1,15,29.0
PHX,SFO,OO,5,9,17.0
DFW,SFO,AA,2,13,12.0
IAH,LAS,UA,5,20,20.0
ATL,LAS,WN,5,18,117.0
SFO,IAH,F9,6,10,56.0
ORD,LAX,AA,5,15,11.0
DFW,LAX,AA,7,14,9.0
IAH,PHX,US,5,18,8.0
PHX,DFW,AA,7,6,13.0
LAS,SFO,WN,4,12,125.0
PHX,LAX,OO,5,14,112.0
BOS,ATL,DL,7,13,103.0
ATL,IAH,EV,5,19,9.0
DFW,ORD,AA,7,15,46.0
ATL,DFW,AA,5,16,7.0
SFO,LAX,WN,3,15,10.0
LAS,DEN,WN,5,14,22.0
SFO,ORD,UA,7,23,11.0
ORD,BOS,UA,2,20,16.0
LAS,DEN,WN,3,17,27.0
IAH,DFW,UA,2,21,133.0
LAX,ORD,UA,1,13,18.0
ORD,PHX,AA,4,14,23.0
DFW,LAS,AA,5,7,14.0
ORD,PHX,US,1,17,99.0
DEN,LAS,WN,4,12,12.0
SFO,LAS,UA,2,19,36.0
IAH,PHX,AA,3,7,15.0
LAS,DFW,AA,7,16,15.0
BOS,ATL,DL,4,7,30.0
ATL,LAX,DL,2,19,9.0
DFW,IAH,AA,7,21,19.0
DFW,LAS,AA,2,20,77.0
SFO,ORD,AA,6,14,24.0
ATL,PHX,DL,5,10,7.0
SFO,ORD,AA,3,9,5.0
LAX,LAS,DL,4,10,32.0
DEN,LAS,F9,2,18,52.0
PHX,ATL,DL,7,8,5.0
IAH,DEN,UA,1,17,7.0
SFO,IAH,UA,7,14,99.0
ORD,DEN,UA,3,7,25.0
LAX,ATL,DL,2,10,7.0
LAS,LAX,WN,2,8,16.0
DEN,SFO,F9,5,21,70.0
IAH,LAX,UA,1,11,41.0
LAX,IAH,UA,4,19,11.0
ORD,LAS,AA,2,20,137.0
SFO,PHX,WN,7,17,17.0
ORD,LAS,UA,5,9,30.0
LAX,DFW,OO,4,19,11.0
DFW,DEN,AA,3,15,51.0
ORD,PHX,UA,5,12,14.0
DFW,SFO,AA,3,13,53.0
IAH,SFO,UA,4,9,66.0
DFW,LAX,AA,7,18,157.0
PHX,LAX,WN,3,9,18.0
LAS,IAH,UA,5,15,25.0
BOS,IAH,UA,7,8,6.0
PHX,SFO,WN,1,13,16.0
LAS,DFW,AA,7,16,180.0
PHX,DEN,WN,7,14,72.0
LAX,IAH,UA,3,11,18.0
LAX,SFO,UA,5,10,24.0
SFO,ORD,AA,2,12,100.0
ATL,LAS,DL,5,20,23.0
SFO,IAH,UA,7,0,25.0
IAH,LAS,UA,5,12,9.0
LAX,LAS,WN,2,13,79.0
LAX,DFW,AA,4,12,26.0
PHX,DEN,AA,1,13,13.0
ORD,ATL,UA,5,12,57.0
IAH,DEN,UA,1,17,25.0
LAS,LAX,WN,4,22,189.0
LAX,SFO,UA,1,13,57.0
LAS,PHX,WN,4,10,34.0
LAS,ATL,DL,1,23,32.0
LAX,SFO,UA,5,22,35.0
BOS,SFO,B6,6,19,10.0
BOS,ATL,DL,3,13,6.0
ORD,LAS,F9,4,11,124.0
PHX,LAX,WN,1,20,26.0
SFO,IAH,UA,3,15,10.0
DEN,IAH,UA,1,12,5.0
SFO,ATL,DL,1,14,95.0
DEN,DFW,F9,6,14,16.0
PHX,SFO,AA,2,8,11.0
ORD,SFO,UA,4,19,67.0
DEN,LAX,UA,3,19,25.0
DFW,SFO,AA,6,16,7.0
LAX,LAS,AA,2,12,18.0
LAS,SFO,UA,7,13,34.0
IAH,DFW,EV,6,21,25.0
PHX,ATL,AA,7,13,47.0
DEN,ORD,F9,3,10,6.0
SFO,ORD,AA,5,14,12.0
LAS,SFO,UA,4,19,59.0
PHX,LAX,WN,5,14,39.0
ATL,LAS,WN,6,17,119.0
LAS,SFO,OO,3,20,89.0
DEN,ATL,DL,2,17,308.0
LAS,DEN,WN,3,13,13.0
IAH,LAX,UA,1,9,109.0
SFO,LAX,WN,3,18,31.0
ORD,LAS,UA,5,20,33.0
ATL,ORD,DL,3,10,5.0
DFW,DEN,AA,1,11,17.0
LAS,LAX,WN,3,18,6.0
SFO,LAX,AA,3,19,56.0
DFW,ATL,DL,7,16,14.0
ORD,IAH,UA,7,20,22.0
SFO,DFW,AA,5,13,23.0
LAX,ORD,AA,4,5,5.0
ATL,BOS,DL,6,15,125.0
LAS,PHX,WN,4,7,12.0
DEN,PHX,US,1,8,11.0
ORD,ATL,DL,6,7,5.0
SFO,BOS,B6,4,21,25.0
DFW,LAS,AA,7,12,12.0
LAS,DFW,AA,4,14,97.0
LAS,DFW,AA,7,9,11.0
DFW,SFO,AA,2,19,49.0
ATL,SFO,DL,3,11,28.0
LAX,ORD,UA,5,6,17.0
LAX,ORD,UA,7,23,16.0
ORD,DFW,AA,4,6,6.0
ATL,DFW,AA,5,16,85.0
LAX,DFW,AA,4,17,45.0
LAS,ORD,UA,4,14,70.0
LAX,DFW,AA,4,11,274.0
ATL,DFW,AA,1,10,238.0
ATL,ORD,DL,5,10,7.0
DEN,SFO,UA,7,15,21.0
IAH,SFO,UA,6,11,12.0
DEN,PHX,F9,6,17,34.0
LAX,IAH,UA,5,19,40.0
DEN,LAX,WN,4,15,192.0
ORD,IAH,UA,2,17,8.0
ATL,BOS,DL,5,20,7.0
LAS,SFO,WN,3,10,9.0
ATL,LAX,F9,4,17,121.0
LAX,ORD,UA,2,6,9.0
LAX,SFO,WN,6,17,7.0
SFO,ATL,UA,7,15,112.0
BOS,ATL,DL,6,9,7.0
LAX,LAS,WN,1,9,15.0
DFW,ATL,DL,4,14,12.0
LAS,ORD,UA,7,18,42.0
DEN,ORD,UA,3,19,48.0
DEN,LAX,UA,1,15,10.0
BOS,DFW,AA,2,17,8.0
BOS,LAX,AA,6,7,21.0
IAH,PHX,UA,7,21,6.0
DEN,PHX,OO,5,14,12.0
DFW,DEN,F9,7,10,32.0
LAX,SFO,UA,4,22,58.0
DFW,LAX,AA,4,14,17.0
PHX,LAS,WN,2,14,19.0
LAS,LAX,WN,5,14,16.0
PHX,DFW,US,4,12,13.0
ORD,ATL,DL,4,8,7.0
DFW,LAS,AA,6,22,29.0
PHX,LAX,WN,2,11,15.0
DEN,DFW,OO,1,15,30.0
PHX,DEN,F9,3,19,9.0
ORD,DFW,AA,1,20,19.0
ORD,ATL,DL,7,12,8.0
SFO,LAX,DL,5,7,6.0
LAS,DFW,AA,3,14,8.0
LAX,ORD,UA,4,10,31.0
LAS,SFO,WN,6,19,60.0
LAS,ORD,F9,4,23,159.0
BOS,DEN,UA,5,15,24.0
PHX,SFO,AA,4,11,48.0
DEN,PHX,UA,2,18,268.0
ATL,DFW,DL,7,17,11.0
ORD,PHX,US,7,5,29.0
ATL,IAH,DL,2,9,35.0
DFW,PHX,US,6,12,8.0
DFW,DEN,AA,7,22,29.0
IAH,LAX,UA,4,7,7.0
ORD,BOS,AA,2,20,81.0
SFO,DFW,AA,6,11,72.0
DFW,ORD,OO,2,6,72.0
ORD,IAH,UA,6,17,49.0
IAH,ORD,UA,2,8,26.0
DFW,LAX,AA,2,13,201.0
LAS,LAX,WN,6,10,54.0
DFW,LAS,AA,2,10,16.0
IAH,LAS,UA,1,17,12.0
IAH,SFO,UA,3,21,12.0
DFW,LAS,AA,7,22,20.0
IAH,DEN,UA,1,20,26.0
PHX,IAH,UA,3,12,126.0
PHX,LAX,WN,6,14,18.0
SFO,LAS,UA,7,20,5.0
BOS,LAX,AA,1,9,76.0
ORD,BOS,AA,2,10,37.0
LAX,DEN,WN,7,16,31.0
DFW,ATL,AA,4,18,6.0
IAH,ATL,EV,7,7,5.0
DFW,ORD,OO,5,14,26.0
DFW,LAX,AA,7,15,87.0
ORD,DFW,AA,3,16,805.0
DEN,LAS,WN,6,19,35.0
DEN,LAS,F9,7,17,56.0
ATL,ORD,AA,2,7,15.0
LAX,SFO,UA,1,9,121.0
LAS,ORD,UA,6,14,8.0
IAH,BOS,UA,6,12,9.0
IAH,PHX,UA,6,9,18.0
ATL,ORD,OO,5,10,53.0
SFO,ATL,DL,4,22,10.0
LAX,PHX,US,5,7,17.0
DFW,IAH,EV,4,13,31.0
ATL,LAX,DL,6,17,34.0
SFO,BOS,UA,1,22,28.0
LAX,DEN,UA,2,10,13.0
SFO,IAH,F9,1,8,15.0
ATL,PHX,DL,7,16,13.0
ATL,IAH,EV,5,15,7.0
LAS,ATL,DL,7,15,9.0
LAX,DEN,F9,3,15,22.0
PHX,DEN,F9,5,18,5.0
LAS,SFO,WN,5,11,37.0
SFO,PHX,WN,1,14,15.0
DFW,SFO,OO,1,15,7.0
ORD,SFO,UA,6,9,21.0
BOS,DEN,UA,3,18,51.0
LAX,PHX,OO,3,12,17.0
LAX,LAS,WN,3,16,24.0
DEN,PHX,WN,7,11,12.0
DFW,SFO,UA,5,13,80.0
ATL,SFO,WN,1,18,27.0
PHX,ORD,UA,2,8,9.0
ORD,ATL,DL,7,16,14.0
DFW,IAH,OO,6,19,36.0
SFO,LAX,OO,5,11,5.0
LAX,ORD,UA,5,6,59.0
SFO,ORD,UA,5,22,24.0
DEN,PHX,AA,2,8,5.0
LAS,DEN,F9,1,17,76.0
LAX,SFO,WN,3,18,19.0
DEN,LAS,UA,1,7,22.0
ATL,LAX,DL,7,16,25.0
DFW,BOS,AA,6,16,298.0
DFW,SFO,UA,7,14,85.0
LAX,DEN,WN,3,11,54.0
BOS,DEN,B6,4,9,20.0
DFW,PHX,AA,6,6,142.0
PHX,SFO,US,5,16,13.0
LAS,IAH,UA,3,9,62.0
DFW,ORD,AA,4,18,51.0
SFO,LAS,WN,1,21,50.0
SFO,DFW,UA,1,10,11.0
DEN,ORD,UA,2,10,15.0
IAH,LAX,UA,3,13,6.0
DEN,LAX,F9,4,8,10.0
SFO,LAX,WN,3,17,63.0
ATL,ORD,DL,2,17,8.0
BOS,DFW,B6,3,14,43.0
PHX,DFW,AA,6,11,8.0
BOS,ORD,OO,2,16,20.0
DFW,ORD,AA,4,19,13.0
ATL,SFO,WN,3,16,5.0
LAX,LAS,WN,5,18,35.0
ATL,SFO,WN,1,11,11.0
ATL,LAS,DL,4,19,37.0
LAS,DEN,WN,2,14,14.0
DEN,LAX,UA,5,7,13.0
ATL,DEN,DL,1,8,30.0
DEN,DFW,AA,1,11,57.0
LAS,SFO,WN,5,20,16.0
DEN,DFW,OO,6,14,10.0
BOS,DFW,AA,3,14,11.0
DEN,IAH,UA,7,6,9.0
DFW,IAH,AA,1,21,30.0
BOS,LAX,AA,6,6,14.0
SFO,LAX,UA,5,8,14.0
DFW,SFO,AA,2,8,62.0
DFW,LAX,OO,2,16,147.0
ATL,DFW,AA,7,13,9.0
PHX,DEN,AA,5,14,65.0
DEN,IAH,UA,6,10,200.0
DFW,LAX,AA,3,9,132.0
DEN,SFO,UA,7,19,96.0
BOS,DEN,B6,4,20,22.0
DEN,BOS,B6,3,23,30.0
DEN,PHX,WN,5,11,6.0
SFO,DEN,UA,5,11,14.0
LAS,ORD,UA,1,11,26.0
ATL,SFO,DL,6,19,23.0
SFO,ORD,AA,7,23,20.0
DEN,IAH,F9,6,14,5.0
ORD,SFO,UA,1,18,11.0
BOS,ATL,DL,3,5,22.0
DFW,ORD,OO,1,20,9.0
DEN,PHX,WN,7,18,12.0
LAS,LAX,WN,6,15,7.0
IAH,SFO,UA,3,7,20.0
